X [mm],Y [mm],Z [mm],X/D [-],Y/D [-],Z/D [-],U/U_hub [-]
12912,320,300,7,0.769230769,0,0.951928919
12912,340,300,7,0.817307692,0,0.970965782
12912,360,300,7,0.865384615,0,0.976582514
12912,360,300,7,0.865384615,0,0.976582514
12912,380,300,7,0.913461538,0,0.978211795
12912,400,300,7,0.961538462,0,0.988459116
12912,420,300,7,1.009615385,0,0.994804737
12912,420,300,7,1.009615385,0,0.990602907
12912,440,300,7,1.057692308,0,0.996176763
12912,460,300,7,1.105769231,0,0.997977548
12912,480,300,7,1.153846154,0,0.994547482
12912,480,300,7,1.153846154,0,1.001321861
12912,500,300,7,1.201923077,0,0.993003953
12912,520,300,7,1.25,0,0.999606829
12912,540,300,7,1.298076923,0,0.995147744
12912,540,300,7,1.298076923,0,0.995276371
13328,-540,300,8,-1.298076923,0,1.016077031
13328,-520,300,8,-1.25,0,1.021529806
13328,-500,300,8,-1.201923077,0,1.009152872
13328,-480,300,8,-1.153846154,0,1.007378557
13328,-460,300,8,-1.105769231,0,1.005084929
13328,-440,300,8,-1.057692308,0,0.996516283
13328,-420,300,8,-1.009615385,0,0.995520935
13328,-400,300,8,-0.961538462,0,0.998636806
13328,-380,300,8,-0.913461538,0,0.980287785
13328,-360,300,8,-0.865384615,0,0.976219842
13328,-340,300,8,-0.817307692,0,0.964492048
13328,-320,300,8,-0.769230769,0,0.949605107
13328,-300,300,8,-0.721153846,0,0.934025749
13328,-280,300,8,-0.673076923,0,0.910743265
13328,-260,300,8,-0.625,0,0.889494753
13328,-240,300,8,-0.576923077,0,0.878329547
13328,-220,300,8,-0.528846154,0,0.865433301
13328,-210,300,8,-0.504807692,0,0.844963756
13328,-200,300,8,-0.480769231,0,0.83812615
13328,-180,300,8,-0.432692308,0,0.816964189
13328,-160,300,8,-0.384615385,0,0.796624473
13328,-140,300,8,-0.336538462,0,0.780439251
13328,-120,300,8,-0.288461538,0,0.767586282
13328,-100,300,8,-0.240384615,0,0.76425403
13328,-80,300,8,-0.192307692,0,0.745558801
